USER_ID,weight_required_skills,weight_preferred_skills,weight_language,req_SQL_score,req_Microsoft Power BI_score,req_Databricks_score,req_DAX_score,req_Matillion ETL_score,lang_English_score,lang_French_score,pref_Cloudera Data Platform_score,normalized_lang_score,normalized_req_score,normalized_pref_score,availability_score,similarity_score,unmatched_skills_score,experience_score,Candidate_score
2978961,13,1,6,0.0,270.0,0.0,0.0,0.0,300.0,0.0,0.0,50.0,20.8,0.0,75.0,57.7,3.1,10,30.1
2895177,13,1,6,0.0,270.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,31.5,0.0,100.0,82.1,2.9,10,27.69
2503861,13,1,6,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,45.0,0.0,0.0,72.91666666666667,44.0,0.0,30,26.75
2920938,13,1,6,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,40.0,0.0,0.0,52.083333333333336,89.9,0.0,10,26.59
2726335,13,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.08333333333333,76.2,0.0,30,22.78
2471586,13,1,6,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,50.0,0.0,0.0,100.0,0.0,0.8,30,22.5
2708468,13,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,73.9,0.0,30,22.34
2664664,13,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,46.5,0.0,30,19.48
2936770,13,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.91666666666667,76.0,0.0,10,17.55
2683916,13,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,43.1,0.0,30,16.46
2977311,13,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.91666666666667,55.8,0.0,10,15.77
2976032,13,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.7,0.0,10,10.0
2967233,13,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.83333333333333,0.0,0.0,10,7.29
2799951,13,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,10,6.25
