USER_ID,weight_required_skills,weight_preferred_skills,weight_language,req_SQL_score,req_Microsoft Power BI_score,req_Databricks_score,req_DAX_score,req_Matillion ETL_score,lang_English_score,lang_French_score,pref_Cloudera Data Platform_score,normalized_lang_score,normalized_req_score,normalized_pref_score,availability_score,similarity_score,Candidate_score
2432194,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,50.0,45.2,36.3
2818577,13,1,6,120.0,180.0,0.0,80.0,20.0,180.0,300.0,0.0,80.0,30.8,0.0,0.0,42.5,35.86
2920938,13,1,6,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,40.0,0.0,0.0,52.5,89.9,35.72
2535513,13,1,6,120.0,60.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,13.8,0.0,0.0,44.5,35.26
2501164,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,72.5,30.8,34.95
2599691,13,1,6,0.0,0.0,0.0,0.0,0.0,240.0,300.0,0.0,90.0,0.0,0.0,50.0,46.3,34.58
2445187,13,1,6,180.0,0.0,0.0,0.0,0.0,240.0,300.0,0.0,90.0,13.8,0.0,0.0,46.8,33.84
2571584,13,1,6,0.0,0.0,0.0,0.0,0.0,210.0,300.0,0.0,85.0,0.0,0.0,75.0,37.3,33.83
2449781,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,0.0,53.9,33.48
2552838,13,1,6,0.0,0.0,0.0,0.0,0.0,180.0,300.0,0.0,80.0,0.0,0.0,0.0,66.5,32.62
2446029,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,0.0,48.8,32.2
2843838,13,1,6,150.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,11.5,0.0,0.0,34.0,31.95
2451833,13,1,6,0.0,180.0,0.0,0.0,0.0,180.0,300.0,0.0,80.0,13.8,0.0,0.0,39.4,29.99
2433135,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,100.0,0.0,0.0,0.0,36.6,29.15
2433099,13,1,6,0.0,0.0,0.0,0.0,0.0,240.0,300.0,0.0,90.0,0.0,0.0,0.0,40.5,28.12
2449639,13,1,6,0.0,0.0,0.0,0.0,0.0,180.0,300.0,0.0,80.0,0.0,0.0,0.0,46.2,27.55
2503861,13,1,6,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,45.0,0.0,0.0,75.0,44.0,27.5
2479537,13,1,6,0.0,0.0,0.0,0.0,0.0,270.0,300.0,0.0,95.0,0.0,0.0,0.0,33.2,27.3
2726335,13,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.5,76.2,26.8
2433092,13,1,6,0.0,0.0,0.0,0.0,0.0,240.0,300.0,0.0,90.0,0.0,0.0,0.0,34.4,26.6
2936770,13,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.5,76.0,26.25
2789583,13,1,6,0.0,180.0,0.0,80.0,0.0,300.0,300.0,0.0,100.0,20.0,0.0,0.0,0.0,26.0
2708468,13,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,73.9,25.98
2977311,13,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5,55.8,23.7
2664664,13,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,46.5,21.62
2471586,13,1,6,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,50.0,0.0,0.0,100.0,0.0,20.0
2448418,13,1,6,0.0,0.0,0.0,0.0,0.0,240.0,300.0,0.0,90.0,0.0,0.0,0.0,0.0,18.0
2683916,13,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,43.1,15.78
2903451,13,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.2,14.8
2976032,13,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.7,14.18
2957009,13,1,6,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,50.0,0.0,0.0,0.0,15.2,13.8
2634429,13,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.9,12.98
2693756,13,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.8,12.7
2437177,13,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.1,11.52
2967233,13,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,9.5
2799951,13,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,7.5
